"URL","Festival","Town","Province","Dates","DetailsLink","TownLink","Name1","Name2"
"https://fiestas.net/espana/","Fiesta Mayor de Invierno 2018","Salou","Tarragona","25/01-04/02","https://fiestas.net/salou/fiesta-mayor-invierno-2018/","https://fiestas.net/salou/","","Fiesta Mayor de Invierno 2018"
"https://fiestas.net/espana/","Carnaval 2018","Las Palmas de Gran Canaria","Las Palmas","26/01-18/02","https://fiestas.net/las-palmas-gran-canaria/carnaval-2018/","https://fiestas.net/las-palmas-gran-canaria/","","Carnaval 2018"
"https://fiestas.net/espana/","Carnaval 2018","Vinarós","Castellón","27/01-12/02","https://fiestas.net/vinaros/carnaval-2018/","https://fiestas.net/vinaros/","","Carnaval 2018"
"https://fiestas.net/espana/","Procesión del Jesuset del Miracle","Alcoy","Alicante","31/01 (Aprox.)","","https://fiestas.net/alcoy/","Procesión del Jesuset del Miracle",""
"https://fiestas.net/espana/","Entroido 2018","Verín","Ourense","01/02-13/02","https://fiestas.net/verin/entroido-2018/","https://fiestas.net/verin/","","Entroido 2018"
"https://fiestas.net/espana/","Fiestas de la Candelas 2018","Arbancón","Guadalajara","01/02-04/02","https://fiestas.net/arbancon/candelas-2018/","https://fiestas.net/arbancon/","","Fiestas de la Candelas 2018"
"https://fiestas.net/espana/","Carnaval 2018","Tarragona","","02/02-13/02","https://fiestas.net/tarragona/carnaval-2018/","https://fiestas.net/tarragona/","","Carnaval 2018"
"https://fiestas.net/espana/","Feria de la Candelaria 2018","Molins de Rei","Barcelona","02/02-04/02","https://fiestas.net/molins-rei/feria-candelaria-2018/","https://fiestas.net/molins-rei/","","Feria de la Candelaria 2018"
"https://fiestas.net/espana/","La Candelaria 2018","Dos Torres","Córdoba","02/02-04/02","https://fiestas.net/dos-torres/candelaria-2018/","https://fiestas.net/dos-torres/","","La Candelaria 2018"
"https://fiestas.net/espana/","Las Candelas","Almendralejo","Badajoz","02/02 (Aprox.)","","https://fiestas.net/almendralejo/","Las Candelas",""
"https://fiestas.net/espana/2/","Moros y Cristianos a San Blas","Bocairente","Valencia","05/02 (Aprox.)","","https://fiestas.net/bocairente/","Moros y Cristianos a San Blas",""
"https://fiestas.net/espana/2/","Santa �?gueda","Cogolludo","Guadalajara","05/02 (Aprox.)","","https://fiestas.net/cogolludo/","Santa �?gueda",""
"https://fiestas.net/espana/3/","El Vitor","San Esteban del Valle","�?vila","05/02-11/02","","https://fiestas.net/san-esteban-valle/","El Vitor",""
"https://fiestas.net/espana/3/","Carnaval de Cádiz 2018","Cádiz","","08/02-18/02","https://fiestas.net/cadiz/carnaval-2018/","https://fiestas.net/cadiz/","","Carnaval de Cádiz 2018"
"https://fiestas.net/espana/3/","Ferias de Febrero","Tafalla","Navarra","08/02 (Aprox.)","","https://fiestas.net/tafalla/","Ferias de Febrero",""
"https://fiestas.net/espana/3/","Carnaval del Toro 2018","Ciudad Rodrigo","Salamanca","09/02-13/02","https://fiestas.net/ciudad-rodrigo/carnaval-toro-2018/","https://fiestas.net/ciudad-rodrigo/","","Carnaval del Toro 2018"
"https://fiestas.net/espana/3/","Carnaval 2018","Santa Cruz de Tenerife","Tenerife","09/02-14/02","https://fiestas.net/santa-cruz-tenerife/carnaval-2018/","https://fiestas.net/santa-cruz-tenerife/","","Carnaval 2018"
"https://fiestas.net/espana/3/","Carnaval 2018","Tarazona de la Mancha","Albacete","10/02-18/02","https://fiestas.net/tarazona-la-mancha/carnaval-2018/","https://fiestas.net/tarazona-la-mancha/","","Carnaval 2018"
"https://fiestas.net/espana/3/","Santa Eulalia","Barcelona","","12/02 (Aprox.)","","https://fiestas.net/barcelona/","Santa Eulalia",""
"https://fiestas.net/espana/3/","Carnaval","�?guilas","Murcia","15/02 (Aprox.)","","https://fiestas.net/aguilas/","Carnaval",""
"https://fiestas.net/espana/3/","Carnaval","Badajoz","","15/02 (Aprox.)","","https://fiestas.net/badajoz/","Carnaval",""
"https://fiestas.net/espana/3/","Entroido","Xinzo de Limia","Ourense","15/02 (Aprox.)","","https://fiestas.net/xinzo-limia/","Entroido",""
"https://fiestas.net/espana/2/","Fiesta de los Arrieros 2018","Balsareny","Barcelona","02/02-04/02","https://fiestas.net/balsareny/fiesta-arrieros-2018/","https://fiestas.net/balsareny/","","Fiesta de los Arrieros 2018"
"https://fiestas.net/espana/2/","Las Candelas y Romería de San Blás","Cáceres","","02/02-03/02","","https://fiestas.net/caceres/","Las Candelas y Romería de San Blás",""
"https://fiestas.net/espana/2/","La Vaquilla","Colmenar Viejo","Madrid","02/02 (Aprox.)","","https://fiestas.net/colmenar-viejo/","La Vaquilla",""
"https://fiestas.net/espana/2/","Virgen de la Candelaria","La Ametlla de Mar","Tarragona","02/02 (Aprox.)","","https://fiestas.net/ametlla-mar/","Virgen de la Candelaria",""
"https://fiestas.net/espana/2/","Carnaval 2018","Tolosa","Guipúzcoa","03/02-13/02","https://fiestas.net/tolosa/carnaval-2018/","https://fiestas.net/tolosa/","","Carnaval 2018"
"https://fiestas.net/espana/2/","Los Negritos de San Blas","Montehermoso","Cáceres","03/02 (Aprox.)","","https://fiestas.net/montehermoso/","Los Negritos de San Blas",""
"https://fiestas.net/espana/2/","San Blas","Valdemorillo","Madrid","03/02 (Aprox.)","","https://fiestas.net/valdemorillo/","San Blas",""
"https://fiestas.net/espana/2/","Feira do Cocido 2018","Lalín","Pontevedra","04/02","https://fiestas.net/lalin/feira-do-cocido-2018/","https://fiestas.net/lalin/","","Feira do Cocido 2018"
"https://fiestas.net/espana/2/","Moros y Cristianos a San Blas","Bocairente","Valencia","05/02 (Aprox.)","","https://fiestas.net/bocairente/","Moros y Cristianos a San Blas",""
"https://fiestas.net/espana/2/","Santa �?gueda","Cogolludo","Guadalajara","05/02 (Aprox.)","","https://fiestas.net/cogolludo/","Santa �?gueda",""
"https://fiestas.net/espana/1/","Fiesta Mayor de Invierno 2018","Salou","Tarragona","25/01-04/02","https://fiestas.net/salou/fiesta-mayor-invierno-2018/","https://fiestas.net/salou/","","Fiesta Mayor de Invierno 2018"
