Name;Category;Location;WikidataID;DateCelebration;DateDeclaration;Lattitude;Longitude;NombreLink;;Ubicacion2;Ubicacion2Link;Coordinate1;Coordinate1Link;Coordinate2;Coordinate2Link;Coordinate3;Coordinate3Link;Coordinate4;Image;Coordinate4Lin k;Coordinate5;Coordinate5Link;Coordinate6;Coordinate6Link;Coordinate7;Coordinate7Link;;Fecha2;Fecha2Link;Fecha3;Fecha4;Fecha4Link;;IdentificatorLink;Category;CategoryLink;Imagen1;Imagen1Alt;Image1Link
Carnaval de Cádiz;International;Cádiz;Q2939698;Carnaval;"1980[4]​; 1980";36°31′00″N;6°17′00″O;https://es.wikipedia.org/wiki/Carnaval_de_C%C3%A1diz;;Cádiz;https://es.wikipedia.org/wiki/C%C3%A1diz;http://4v.dia.fi.upm.es/test/test2_files/15px-Erioll_world.svg.png;Mostrar el lugar en un mapa interactivo;36°31′00″N 6°17′00″O / 36.51667, -6.28333 (Cádiz);http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=36_31_00_N_6_17_00_W_&title=C%C3%A1diz;36°31′00″N;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=36_31_00_N_6_17_00_W_&title=C%C3%A1diz;6°17′00″O;;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=36_31_00_N_6_17_00_W_&title=C%C3%A1diz;3.651.667,00;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=36_31_00_N_6_17_00_W_&title=C%C3%A1diz;-628.333;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=36_31_00_N_6_17_00_W_&title=C%C3%A1diz;Cádiz;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=36_31_00_N_6_17_00_W_&title=C%C3%A1diz;;Carnaval;https://es.wikipedia.org/wiki/Carnaval;"1980[4]​; 1980";[4];https://es.wikipedia.org/wiki/Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)#cite_note-4;;https://www.wikidata.org/wiki/Q2939698;Carnival of Cádiz;https://commons.wikimedia.org/wiki/Category:Carnival_of_C%C3%A1diz;"http://4v.dia.fi.upm.es/test/test2_files/100px-C%C3%A1diz_Carnaval_Chirigota.jpg; http://4v.dia.fi.upm.es/test/test2_files/16px-Camera-photo_Upload.svg.png";"Carnaval de Cádiz; Haz clic aquí para subir tu imagen";"https://commons.wikimedia.org/wiki/File:C%C3%A1diz_Carnaval_Chirigota.jpg; https://commons.wikimedia.org/wiki/special:uploadWizard?campaign=wlfolk&id=Q2939698&descriptionlang=es&categories=Carnival+of+C%C3%A1diz&description=Carnaval+de+C%C3%A1diz"
Carnaval de Santa Cruz de Tenerife;International;Santa Cruz de Tenerife;Q815872;Carnaval;"1980[5]​; 1980";28°28′00″N;16°15′00″O;https://es.wikipedia.org/wiki/Carnaval_de_Santa_Cruz_de_Tenerife;;Santa Cruz de Tenerife;https://es.wikipedia.org/wiki/Santa_Cruz_de_Tenerife;http://4v.dia.fi.upm.es/test/test2_files/15px-Erioll_world.svg.png;Mostrar el lugar en un mapa interactivo;28°28′00″N 16°15′00″O / 28.46667, -16.25000 (Santa Cruz de Tenerife);http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=28_28_00_N_16_15_00_W_&title=Santa+Cruz+de+Tenerife;28°28′00″N;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=28_28_00_N_16_15_00_W_&title=Santa+Cruz+de+Tenerife;16°15′00″O;;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=28_28_00_N_16_15_00_W_&title=Santa+Cruz+de+Tenerife;2.846.667,00;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=28_28_00_N_16_15_00_W_&title=Santa+Cruz+de+Tenerife;-1.625.000;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=28_28_00_N_16_15_00_W_&title=Santa+Cruz+de+Tenerife;Santa Cruz de Tenerife;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=28_28_00_N_16_15_00_W_&title=Santa+Cruz+de+Tenerife;;Carnaval;https://es.wikipedia.org/wiki/Carnaval;"1980[5]​; 1980";[5];https://es.wikipedia.org/wiki/Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)#cite_note-5;;https://www.wikidata.org/wiki/Q815872;Carnivals of Santa Cruz de Tenerife;https://commons.wikimedia.org/wiki/Category:Carnivals_of_Santa_Cruz_de_Tenerife;"http://4v.dia.fi.upm.es/test/test2_files/100px-Reina_carnaval.jpg; http://4v.dia.fi.upm.es/test/test2_files/16px-Camera-photo_Upload.svg.png";"Carnaval de Santa Cruz de Tenerife; Haz clic aquí para subir tu imagen";"https://commons.wikimedia.org/wiki/File:Reina_carnaval.jpg; https://commons.wikimedia.org/wiki/special:uploadWizard?campaign=wlfolk&id=Q815872&descriptionlang=es&categories=Carnivals+of+Santa+Cruz+de+Tenerife&description=Carnaval+de+Santa+Cruz+de+Tenerife"
Carnaval de Águilas;International;Águilas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
" (Murcia)""";Q5752929;Carnaval;"2015[6]​; 2015";37°24′15″N;1°34′55″O;https://es.wikipedia.org/wiki/Carnaval_de_%C3%81guilas;;"Águilas; Murcia";"https://es.wikipedia.org/wiki/%C3%81guilas; https://es.wikipedia.org/wiki/Regi%C3%B3n_de_Murcia";http://4v.dia.fi.upm.es/test/test2_files/15px-Erioll_world.svg.png;Mostrar el lugar en un mapa interactivo;37°24′15″N 1°34′55″O / 37.40417, -1.58194 (Águilas);http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=37_24_15_N_1_34_55_W_&title=%C3%81guilas;37°24′15″N;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=37_24_15_N_1_34_55_W_&title=%C3%81guilas;1°34′55″O;;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=37_24_15_N_1_34_55_W_&title=%C3%81guilas;3.740.417,00;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=37_24_15_N_1_34_55_W_&title=%C3%81guilas;-158.194;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=37_24_15_N_1_34_55_W_&title=%C3%81guilas;Águilas;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=37_24_15_N_1_34_55_W_&title=%C3%81guilas;;Carnaval;https://es.wikipedia.org/wiki/Carnaval;"2015[6]​; 2015";[6];https://es.wikipedia.org/wiki/Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)#cite_note-6;;https://www.wikidata.org/wiki/Q5752929;Carnivals of Águilas;https://commons.wikimedia.org/wiki/Category:Carnivals_of_%C3%81guilas;"http://4v.dia.fi.upm.es/test/test2_files/100px-Aguilas_Murcia_Spain_Carnival.jpg; http://4v.dia.fi.upm.es/test/test2_files/16px-Camera-photo_Upload.svg.png";"Carnaval de Águilas; Haz clic aquí para subir tu imagen";"https://commons.wikimedia.org/wiki/File:Aguilas_Murcia_Spain_Carnival.jpg; https://commons.wikimedia.org/wiki/special:uploadWizard?campaign=wlfolk&id=Q5752929&descriptionlang=es&categories=Carnivals+of+%C3%81guilas&description=Carnaval+de+%C3%81guilas";;
La Arribada;International;Bayona;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
" (Pontevedra)""";Q5962041;1 de marzo;"2015[7]​; 2015";42°07′12″N;8°51′00″O;https://es.wikipedia.org/wiki/La_Arribada;;"Bayona; Pontevedra";"https://es.wikipedia.org/wiki/Bayona_(Espa%C3%B1a); https://es.wikipedia.org/wiki/Provincia_de_Pontevedra";http://4v.dia.fi.upm.es/test/test2_files/15px-Erioll_world.svg.png;Mostrar el lugar en un mapa interactivo;42°07′12″N 8°51′00″O / 42.12000, -8.85000 (Bayona (España));http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=42_07_12_N_8_51_00_W_&title=Bayona+%28Espa%C3%B1a%29;42°07′12″N;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=42_07_12_N_8_51_00_W_&title=Bayona+%28Espa%C3%B1a%29;8°51′00″O;;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=42_07_12_N_8_51_00_W_&title=Bayona+%28Espa%C3%B1a%29;4.212.000,00;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=42_07_12_N_8_51_00_W_&title=Bayona+%28Espa%C3%B1a%29;-885.000;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=42_07_12_N_8_51_00_W_&title=Bayona+%28Espa%C3%B1a%29;Bayona (España);http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=42_07_12_N_8_51_00_W_&title=Bayona+%28Espa%C3%B1a%29;;;;"2015[7]​; 2015";[7];https://es.wikipedia.org/wiki/Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)#cite_note-7;;https://www.wikidata.org/wiki/Q5962041;A Arribada;https://commons.wikimedia.org/wiki/Category:A_Arribada;"http://4v.dia.fi.upm.es/test/test2_files/75px-Festa_da_arribada.jpg; http://4v.dia.fi.upm.es/test/test2_files/16px-Camera-photo_Upload.svg.png";"La Arribada; Haz clic aquí para subir tu imagen";"https://commons.wikimedia.org/wiki/File:Festa_da_arribada.jpg; https://commons.wikimedia.org/wiki/special:uploadWizard?campaign=wlfolk&id=Q5962041&descriptionlang=es&categories=A+Arribada&description=La+Arribada";;
Fallas;International;Valencia;Q1143768;Del 15 al 19 de marzo;"1980[8]​; 1980";39°28′00″N;0°22′30″O;https://es.wikipedia.org/wiki/Fallas_de_Valencia;;Valencia;https://es.wikipedia.org/wiki/Valencia;http://4v.dia.fi.upm.es/test/test2_files/15px-Erioll_world.svg.png;Mostrar el lugar en un mapa interactivo;39°28′00″N 0°22′30″O / 39.46667, -0.37500 (Valencia);http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=39_28_00_N_0_22_30_W_&title=Valencia;39°28′00″N;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=39_28_00_N_0_22_30_W_&title=Valencia;0°22′30″O;;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=39_28_00_N_0_22_30_W_&title=Valencia;3.946.667,00;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=39_28_00_N_0_22_30_W_&title=Valencia;-0.37500;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=39_28_00_N_0_22_30_W_&title=Valencia;Valencia;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=39_28_00_N_0_22_30_W_&title=Valencia;;;;"1980[8]​; 1980";[8];https://es.wikipedia.org/wiki/Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)#cite_note-8;;https://www.wikidata.org/wiki/Q1143768;Falles de València;https://commons.wikimedia.org/wiki/Category:Falles_de_Val%C3%A8ncia;"http://4v.dia.fi.upm.es/test/test2_files/100px-Falla_Ayuntamiento_2010.jpg; http://4v.dia.fi.upm.es/test/test2_files/16px-Camera-photo_Upload.svg.png";"Fallas; Haz clic aquí para subir tu imagen";"https://commons.wikimedia.org/wiki/File:Falla_Ayuntamiento_2010.jpg; https://commons.wikimedia.org/wiki/special:uploadWizard?campaign=wlfolk&id=Q1143768&descriptionlang=es&categories=Falles+de+Val%C3%A8ncia&description=Fallas"
Fiestas de la Magdalena (Castellón de la Plana);International;Castellón de la Plana;Q8961628;A partir del tercer sábado de Cuaresma;"2010; 2010";39°58′00″N;0°03′00″O;https://es.wikipedia.org/wiki/Fiestas_de_la_Magdalena_(Castell%C3%B3n_de_la_Plana);;Castellón de la Plana;https://es.wikipedia.org/wiki/Castell%C3%B3n_de_la_Plana;http://4v.dia.fi.upm.es/test/test2_files/15px-Erioll_world.svg.png;Mostrar el lugar en un mapa interactivo;39°58′00″N 0°03′00″O / 39.96667, -0.05000 (Castellón de la Plana);http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=39_58_00_N_0_03_00_W_&title=Castell%C3%B3n+de+la+Plana;39°58′00″N;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=39_58_00_N_0_03_00_W_&title=Castell%C3%B3n+de+la+Plana;0°03′00″O;;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=39_58_00_N_0_03_00_W_&title=Castell%C3%B3n+de+la+Plana;3.996.667,00;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=39_58_00_N_0_03_00_W_&title=Castell%C3%B3n+de+la+Plana;-0.05000;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=39_58_00_N_0_03_00_W_&title=Castell%C3%B3n+de+la+Plana;Castellón de la Plana;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=39_58_00_N_0_03_00_W_&title=Castell%C3%B3n+de+la+Plana;;;;"2010; 2010";;;;https://www.wikidata.org/wiki/Q8961628;Festes de la Magdalena;https://commons.wikimedia.org/wiki/Category:Festes_de_la_Magdalena;"http://4v.dia.fi.upm.es/test/test2_files/97px-Gaiata_de_Magdalena.jpg; http://4v.dia.fi.upm.es/test/test2_files/16px-Camera-photo_Upload.svg.png";"Fiestas de la Magdalena (Castellón de la Plana); Haz clic aquí para subir tu imagen";"https://commons.wikimedia.org/wiki/File:Gaiata_de_Magdalena.jpg; https://commons.wikimedia.org/wiki/special:uploadWizard?campaign=wlfolk&id=Q8961628&descriptionlang=es&categories=Festes+de+la+Magdalena&description=Fiestas+de+la+Magdalena+%28Castell%C3%B3n+de+la+Plana%29"
Ruta del Tambor y el Bombo;International;·Albalate del Arzobispo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ·Alcañiz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
